date,daily_precipitation-mm,temp_max-celsius,temp_min-celsius,temp_mean-celsius,mean_relative_humidity-%,mean_wind_speed-m_per_s
1/1/2010,0.0,31.1,23.9,26.7,72.1,1.7
1/2/2010,2.2,32.9,23.8,27.2,75.3,1.3
1/3/2010,0.0,32.3,25.6,28.4,73.2,1.7
1/4/2010,1.6,33.9,24.6,28.5,75.5,2.5
1/5/2010,0.2,35.2,25.5,29.5,69.1,2.6
1/6/2010,0.0,35.0,23.1,27.6,76.0,2.5
1/7/2010,0.0,34.2,21.5,26.9,73.5,0.9
1/8/2010,0.0,32.2,24.5,28.0,72.7,1.6
1/9/2010,0.0,31.9,24.9,27.6,74.2,1.9
1/10/2010,0.2,30.5,24.5,26.1,80.8,2.3
1/11/2010,0.0,31.1,23.6,26.8,78.5,2.2
1/12/2010,36.2,30.2,21.9,25.1,85.5,3.1
1/13/2010,5.4,30.7,22.0,25.0,79.7,1.4
1/14/2010,0.0,31.4,20.9,25.2,70.2,0.9
1/15/2010,9.0,32.2,18.5,23.7,79.1,1.0
1/16/2010,0.0,30.6,22.9,26.5,72.8,3.1
1/17/2010,100.2,33.2,21.9,26.6,79.5,3.0
1/18/2010,0.0,31.6,22.5,27.0,78.6,2.5
1/19/2010,12.8,32.9,22.5,27.2,76.1,4.0
1/20/2010,35.4,29.1,20.3,23.2,84.8,0.8
1/21/2010,0.0,30.2,18.6,23.7,69.9,0.9
1/22/2010,0.0,31.4,18.5,24.4,68.3,0.8
1/23/2010,0.0,33.2,20.8,26.1,67.3,0.9
1/24/2010,0.0,31.8,23.5,27.0,70.2,1.6
1/25/2010,0.0,30.2,20.6,25.1,76.9,1.2
1/26/2010,0.0,32.8,19.8,25.4,73.2,1.1
1/27/2010,60.6,34.2,20.8,25.9,76.2,1.6
1/28/2010,0.0,30.4,19.8,24.2,79.5,1.0
1/29/2010,0.0,31.3,22.1,26.6,78.6,1.4
1/30/2010,0.0,32.7,24.3,27.9,72.8,1.9
1/31/2010,0.0,32.9,24.5,28.0,71.1,1.7
2/1/2010,0.0,32.5,25.0,27.9,73.3,2.0
2/2/2010,0.0,35.2,25.7,29.4,67.8,2.6
2/3/2010,0.0,35.7,26.1,30.6,60.6,2.3
2/4/2010,7.6,36.4,25.3,29.2,70.7,1.7
2/5/2010,0.0,35.9,26.1,30.6,66.1,1.9
2/6/2010,1.6,35.9,25.4,28.5,72.9,1.9
2/7/2010,0.0,35.0,26.1,30.0,70.0,1.4
2/8/2010,52.4,35.7,19.6,25.6,78.1,2.3
2/9/2010,0.0,31.6,18.2,24.1,75.5,1.0
2/10/2010,0.0,32.4,23.8,27.3,74.4,1.6
2/11/2010,0.0,31.4,24.1,27.5,73.3,1.6
2/12/2010,0.0,31.6,24.9,27.4,71.0,1.8
2/13/2010,5.6,29.5,22.1,25.5,78.6,1.6
2/14/2010,16.0,27.7,22.5,24.6,83.7,2.8
2/15/2010,7.2,27.6,22.2,24.4,86.3,3.3
2/16/2010,79.2,25.1,20.3,22.8,91.3,2.3
2/17/2010,0.8,30.6,22.6,25.4,80.7,1.3
2/18/2010,0.0,31.8,24.5,27.5,73.3,1.5
2/19/2010,0.0,32.7,25.4,28.5,66.3,1.8
2/20/2010,0.0,34.3,26.2,28.8,69.9,1.3
2/21/2010,7.8,32.7,23.0,27.9,75.8,1.8
2/22/2010,16.6,32.5,23.0,26.5,82.0,1.8
2/23/2010,0.0,35.3,23.1,28.0,72.5,2.4
2/24/2010,9.6,25.5,20.8,23.5,88.8,0.8
2/25/2010,0.0,29.3,19.5,23.5,75.5,0.8
2/26/2010,0.0,29.2,21.1,24.8,71.1,1.6
2/27/2010,35.6,25.5,20.4,22.3,87.0,1.4
2/28/2010,0.4,31.9,20.9,24.5,75.8,0.7
3/1/2010,0.0,32.4,22.5,26.1,69.0,1.1
3/2/2010,0.0,32.0,22.0,25.7,65.1,1.3
3/3/2010,0.0,31.9,21.6,25.9,63.0,1.3
3/4/2010,0.0,32.6,22.6,26.4,68.4,1.3
3/5/2010,3.6,33.9,20.0,25.8,71.6,1.2
3/6/2010,0.0,32.1,19.0,24.4,64.7,0.7
3/7/2010,0.0,31.1,17.4,24.0,63.3,0.6
3/8/2010,0.0,32.1,18.5,24.1,63.0,0.9
3/9/2010,0.0,33.6,19.7,25.7,66.4,0.8
3/10/2010,0.0,34.1,21.5,26.9,65.8,0.9
3/11/2010,0.0,32.2,19.7,25.5,66.2,0.7
3/12/2010,0.0,32.5,20.2,26.2,68.3,1.0
3/13/2010,11.4,32.1,20.3,25.4,73.6,1.6
3/14/2010,0.0,0.0,0.0,0.0,0.0,0.0
3/15/2010,0.0,29.3,21.0,24.9,73.9,1.0
3/16/2010,0.0,32.5,21.3,25.8,74.0,0.9
3/17/2010,0.0,31.8,23.2,26.8,65.9,1.5
3/18/2010,0.0,31.4,22.4,27.1,65.5,1.5
3/19/2010,0.0,32.7,24.7,27.8,70.1,1.4
3/20/2010,4.8,27.6,21.7,25.0,83.9,1.2
3/21/2010,0.0,28.9,21.3,24.9,82.8,1.7
3/22/2010,41.4,26.5,19.0,23.3,82.0,2.3
3/23/2010,52.4,25.9,20.4,22.8,86.4,1.9
3/24/2010,0.0,26.7,18.5,22.4,84.5,0.9
3/25/2010,0.0,30.8,20.6,24.4,81.1,1.0
3/26/2010,0.0,30.4,20.9,25.1,79.4,1.5
3/27/2010,0.2,30.2,22.0,24.9,82.2,1.1
3/28/2010,0.2,30.7,22.1,24.9,82.1,1.1
3/29/2010,0.0,31.6,21.6,25.4,78.3,1.1
